"","BorrowerState","freq","pop"
"1","",5515,NA
"2","AK",200,738432
"3","AL",1679,4858979
"4","AR",855,6828065
"5","AZ",1901,2978204
"6","CA",14717,39144818
"7","CO",2210,5456574
"8","CT",1627,3590886
"9","DC",382,693972
"10","DE",300,945934
"11","FL",6720,20271272
"12","GA",5008,10214860
"13","HI",409,1431603
"14","IA",186,3123899
"15","ID",599,1654930
"16","IL",5921,12859995
"17","IN",2078,6619680
"18","KS",1062,2911641
"19","KY",983,4425092
"20","LA",954,4670724
"21","MA",2242,6794422
"22","MD",2821,6006401
"23","ME",101,1329328
"24","MI",3593,9922576
"25","MN",2318,5489594
"26","MO",2615,6083672
"27","MS",787,2992333
"28","MT",330,1032949
"29","NC",3084,10042802
"30","ND",52,756927
"31","NE",674,1896190
"32","NH",551,1330608
"33","NJ",3097,8958013
"34","NM",472,2085109
"35","NV",1090,2890845
"36","NY",6729,19795791
"37","OH",4197,11613423
"38","OK",971,3911338
"39","OR",1817,4028977
"40","PA",2972,12802503
"41","RI",435,1056298
"42","SC",1122,4896146
"43","SD",189,858469
"44","TN",1737,6600299
"45","TX",6842,27469114
"46","UT",877,2995919
"47","VA",3278,8382993
"48","VT",207,626042
"49","WA",3048,8382993
"50","WI",1842,5771337
"51","WV",391,1844128
"52","WY",150,586107
